"filename", "language", "Dart", "comment", "blank", "total"
"g:\SwiftProjects\multivendor_store\lib\core\animated_image_sizer.dart", "Dart", 31, 0, 4, 35
"g:\SwiftProjects\multivendor_store\lib\core\appbar.dart", "Dart", 4, 0, 2, 6
"g:\SwiftProjects\multivendor_store\lib\core\build_context_extension.dart", "Dart", 33, 5, 13, 51
"g:\SwiftProjects\multivendor_store\lib\core\buttons\rounded_button_style.dart", "Dart", 13, 0, 2, 15
"g:\SwiftProjects\multivendor_store\lib\core\buttons\text_button_style.dart", "Dart", 10, 0, 2, 12
"g:\SwiftProjects\multivendor_store\lib\core\check_if_user_is_connected.dart", "Dart", 9, 0, 2, 11
"g:\SwiftProjects\multivendor_store\lib\core\constants.dart", "Dart", 270, 14, 22, 306
"g:\SwiftProjects\multivendor_store\lib\core\custom_transition_page.dart", "Dart", 26, 0, 4, 30
"g:\SwiftProjects\multivendor_store\lib\core\dummy\messages.dart", "Dart", 10, 0, 2, 12
"g:\SwiftProjects\multivendor_store\lib\core\errors\failures.dart", "Dart", 72, 2, 6, 80
"g:\SwiftProjects\multivendor_store\lib\core\exports\exports.dart", "Dart", 6, 0, 1, 7
"g:\SwiftProjects\multivendor_store\lib\core\firebase\collections.dart", "Dart", 7, 0, 1, 8
"g:\SwiftProjects\multivendor_store\lib\core\firebase\download_file.dart", "Dart", 29, 5, 10, 44
"g:\SwiftProjects\multivendor_store\lib\core\firebase\get_device_token.dart", "Dart", 20, 2, 4, 26
"g:\SwiftProjects\multivendor_store\lib\core\firebase\logged_user.dart", "Dart", 2, 0, 2, 4
"g:\SwiftProjects\multivendor_store\lib\core\firebase\translate_incoming_data.dart", "Dart", 1, 3, 2, 6
"g:\SwiftProjects\multivendor_store\lib\core\firebase_package_helper.dart", "Dart", 6, 0, 2, 8
"g:\SwiftProjects\multivendor_store\lib\core\input_decoration.dart", "Dart", 24, 0, 2, 26
"g:\SwiftProjects\multivendor_store\lib\core\loading_widget.dart", "Dart", 33, 0, 3, 36
"g:\SwiftProjects\multivendor_store\lib\core\login_and_registration_label.dart", "Dart", 21, 0, 2, 23
"g:\SwiftProjects\multivendor_store\lib\core\login_vector_image.dart", "Dart", 27, 0, 4, 31
"g:\SwiftProjects\multivendor_store\lib\core\notification.dart", "Dart", 34, 0, 3, 37
"g:\SwiftProjects\multivendor_store\lib\core\padding_and_margin.dart", "Dart", 14, 0, 1, 15
